N_CTX,Triton [FP16],Triton [FP8]
1024.000000,54.902012,54.584428
2048.000000,72.662115,72.954541
4096.000000,90.776163,90.743644
8192.000000,110.196783,109.387351
16384.000000,118.886538,118.179289
