N_CTX,Triton [FP16],Triton [FP8]
1024.000000,154.981792,174.779377
2048.000000,210.463037,227.427870
4096.000000,281.067204,289.650020
8192.000000,315.767786,341.995769
16384.000000,355.575018,387.473904
