N_CTX,Triton [FP16],Triton [FP8]
1024.000000,83.273314,84.446698
2048.000000,113.604929,113.631620
4096.000000,129.991423,129.963773
8192.000000,152.074606,151.848831
16384.000000,166.712751,165.593587
