N_CTX,Triton [FP16],Triton [FP8]
1024.000000,105.366249,105.230896
2048.000000,130.894370,130.256008
4096.000000,145.670194,145.492701
8192.000000,155.317560,156.205121
16384.000000,159.260020,159.472149
