N_CTX,Triton [FP16],Triton [FP8]
1024.000000,126.599155,125.994647
2048.000000,158.849363,159.989002
4096.000000,168.702425,168.752808
8192.000000,180.250878,180.031117
16384.000000,185.573112,183.457876
