N_CTX,Triton [FP16],Triton [FP8]
1024.000000,276.261490,325.374807
2048.000000,364.797336,397.287955
4096.000000,402.311700,417.377248
8192.000000,428.955666,450.799876
16384.000000,433.203029,451.438345
