N_CTX,Triton [FP16],Triton [FP8]
1024.000000,257.461081,296.399598
2048.000000,340.619771,376.251134
4096.000000,372.094495,394.572550
8192.000000,393.298895,411.893685
16384.000000,401.741021,409.152983
